,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA,BRK-A,FB,V,UNH
2015-02-01,29.038928985595703,38.5505256652832,380.1600036621094,562.6300048828125,40.667999267578125,5.303463935852051,221180.0,78.97000122070312,64.61307525634766,101.906982421875
2015-03-01,28.238933563232422,36.00044631958008,372.1000061035156,554.7000122070312,37.75400161743164,5.051174163818359,217500.0,82.22000122070312,62.42341613769531,106.08623504638672
2015-04-01,28.402341842651367,43.06595993041992,421.7799987792969,548.77001953125,45.209999084472656,5.357671737670898,213400.0,78.7699966430664,63.034202575683594,100.24132537841797
2015-05-01,29.566572189331055,41.489933013916016,429.2300109863281,545.3200073242188,50.15999984741211,5.340778827667236,214800.0,79.19000244140625,65.54410552978516,108.16881561279297
2015-06-01,28.584789276123047,39.34455108642578,434.0899963378906,540.0399780273438,53.652000427246094,4.8757429122924805,204850.0,85.7699966430664,64.19611358642578,109.77952575683594
2015-07-01,27.643585205078125,41.61698532104492,536.1500244140625,657.5,53.22999954223633,4.836950302124023,214000.0,94.01000213623047,72.02586364746094,109.70230865478516
2015-08-01,25.69736671447754,38.783111572265625,512.8900146484375,647.8200073242188,49.8120002746582,5.450357437133789,202531.0,89.43000030517578,68.16358184814453,104.55154418945312
2015-09-01,25.25052833557129,39.702667236328125,511.8900146484375,638.3699951171875,49.68000030517578,6.001628398895264,195240.0,89.9000015258789,66.70481872558594,104.83167266845703
2015-10-01,27.356643676757812,47.21979904174805,625.9000244140625,737.3900146484375,41.38600158691406,6.907352447509766,204596.0,101.97000122070312,74.28884887695312,106.89151763916016
2015-11-01,27.08193588256836,48.753726959228516,664.7999877929688,762.8499755859375,46.051998138427734,7.722987174987793,201360.0,104.23999786376953,75.65818786621094,102.29022979736328
2015-12-01,24.199888229370117,50.102813720703125,675.8900146484375,778.010009765625,48.00199890136719,8.05536937713623,197800.0,104.66000366210938,74.39356994628906,106.76444244384766
2016-01-01,22.3790340423584,49.75061798095703,587.0,761.3499755859375,38.2400016784668,7.158426284790039,194360.0,112.20999908447266,71.45811462402344,104.96514129638672
2016-02-01,22.229595184326172,45.94865798950195,552.52001953125,717.219970703125,38.38600158691406,7.664330005645752,202555.0,106.91999816894531,69.44358825683594,108.55632781982422
2016-03-01,25.19339942932129,50.23515701293945,593.6400146484375,762.9000244140625,45.95399856567383,8.739638328552246,213450.0,114.0999984741211,73.51187896728516,117.48875427246094
2016-04-01,21.668312072753906,45.35991287231445,659.5900268554688,707.8800048828125,48.152000427246094,8.715106010437012,219000.0,117.58000183105469,74.24237060546875,120.5179672241211
2016-05-01,23.08297348022461,48.20683670043945,722.7899780273438,748.8499755859375,44.645999908447266,11.459890365600586,211695.0,118.80999755859375,75.87638854980469,122.33927917480469
2016-06-01,22.232803344726562,46.86786651611328,715.6199951171875,703.530029296875,42.45600128173828,11.560966491699219,216975.0,114.27999877929688,71.41775512695312,129.23098754882812
2016-07-01,24.235153198242188,51.91461181640625,758.8099975585938,791.3400268554688,46.95800018310547,14.042356491088867,216000.0,123.94000244140625,75.1537857055664,131.65829467773438
2016-08-01,24.674694061279297,52.6290397644043,769.1599731445312,789.8499755859375,42.402000427246094,15.08508014678955,225760.0,126.12000274658203,77.89802551269531,125.08456420898438
2016-09-01,26.43341064453125,53.08608627319336,837.3099975585938,804.0599975585938,40.805999755859375,16.881877899169922,216220.0,128.27000427246094,79.76941680908203,128.71621704101562
2016-10-01,26.54798698425293,55.224273681640625,789.8200073242188,809.9000244140625,39.54600143432617,17.53232192993164,215700.0,130.99000549316406,79.58616638183594,130.53903198242188
2016-11-01,25.84184455871582,55.537620544433594,750.5700073242188,775.8800048828125,37.880001068115234,22.71613121032715,237000.0,118.41999816894531,74.58009338378906,146.23179626464844
2016-12-01,27.220136642456055,57.65718460083008,749.8699951171875,792.4500122070312,42.737998962402344,26.337844848632812,244121.0,115.05000305175781,75.41364288330078,148.40908813476562
2017-01-01,28.519805908203125,59.98613357543945,823.47998046875,820.1900024414062,50.38600158691406,26.939922332763672,245980.0,130.32000732421875,79.94695281982422,150.31936645507812
2017-02-01,32.195533752441406,59.364463806152344,845.0399780273438,844.9299926757812,49.99800109863281,25.03996467590332,257100.0,135.5399932861328,85.00225067138672,153.3610076904297
2017-03-01,33.90950012207031,61.479312896728516,886.5399780273438,847.7999877929688,55.65999984741211,26.912151336669922,249850.0,142.0500030517578,86.064697265625,152.09056091308594
2017-04-01,33.907135009765625,63.9063720703125,924.989990234375,924.52001953125,62.81399917602539,25.768268585205078,247780.0,150.25,88.34051513671875,162.77508544921875
2017-05-01,36.057472229003906,65.194580078125,994.6199951171875,987.0900268554688,68.2020034790039,35.662986755371094,248440.0,151.4600067138672,92.22393798828125,163.05429077148438
2017-06-01,34.134788513183594,64.71392059326172,968.0,929.6799926757812,72.3219985961914,35.75248336791992,254700.0,150.97999572753906,90.98086547851562,172.5854949951172
2017-07-01,35.25112533569336,68.25332641601562,987.780029296875,945.5,64.69400024414062,40.191864013671875,262786.0,169.25,96.58836364746094,179.2704620361328
2017-08-01,38.870338439941406,70.19671630859375,980.5999755859375,955.239990234375,71.18000030517578,41.90578842163086,271450.0,171.97000122070312,100.43014526367188,185.89697265625
2017-09-01,36.67207336425781,70.30644989013672,961.3499755859375,973.719970703125,68.22000122070312,44.252197265625,274740.0,170.8699951171875,102.26322174072266,183.04637145996094
2017-10-01,40.222225189208984,78.50840759277344,1105.280029296875,1033.0400390625,66.30599975585938,51.19314193725586,280470.0,180.05999755859375,106.86914825439453,197.22256469726562
